message,label,category
Thank you for helping me solve the problem.,low,Legitimate Message
Can you send me the summary for the conference?,low,Legitimate Message
Your email account will be permanently deleted in today unless you verify now.,high,Suspicious Message
Earn $5000/week working from home. No experience needed!,medium,Suspicious Message
Don't miss out: 10% off shoes ends Friday.,medium,Suspicious Message
Immediate action required: your government tax account will be closed in 2 hours.,high,Suspicious Message
The issue has been fixed successfully.,low,Legitimate Message
Earn $50 cashback when you shop accessories at our outlet.,medium,Spam / Promotional
Use code BONUS20 for 50% off furniture this the end of the week.,medium,Suspicious Message
"""Your account details must be reviewed immediately.""",high,Suspicious Message
Please send me the assignment notes.,low,Legitimate Message
Use code TREAT25 for 25% off furniture this the end of the week.,medium,Suspicious Message
Click here to confirm your your employer login before your session expires in 2 hours.,high,Suspicious Message
I will be at the cafe around 10:30 AM.,low,Legitimate Message
"""Get free shopping coupons today. Register immediately.""",medium,Spam / Promotional
"""Hot deal! Purchase today and receive extra bonuses.""",medium,Suspicious Message
"""Security warning: someone accessed your account. Change password now.""",high,Suspicious Message
Exclusive deal just for you: 40% off accessories at our partner.,medium,Suspicious Message
I will send the payment receipt later.,low,Legitimate Message
"""Your payment information needs to be updated to avoid suspension.""",high,Suspicious Message
Let's catch up over dinner this Monday.,low,Legitimate Message
"Get 60% off your next home goods purchase, use code TREAT25!",medium,Suspicious Message
"""Special reward program starts today.""",medium,Suspicious Message
Your your employer account will be permanently deleted in the next hour unless you verify now.,high,Suspicious Message
I'm running a few minutes late to the interview.,low,Legitimate Message
"""Free accessories available for new customers.""",medium,Spam / Promotional
Your PayPal account will be permanently deleted in today unless you verify now.,high,Suspicious Message
Your government tax password will expire 12 hours. Click here to reset it.,high,Suspicious Message
Could you review the invoice before tomorrow?,low,Legitimate Message
"""Special offer! Don't miss this opportunity.""",medium,Spam / Promotional
Can you send me the agenda for the interview?,low,Legitimate Message
"""Congratulations! Your free package is ready.""",medium,Spam / Promotional
Please remember to bring your ID card tomorrow.,low,Legitimate Message
"""Your email password needs renewal. Click to reset.""",high,Suspicious Message
Please let me know your decision.,low,Legitimate Message
our outlet rewards: claim your gadget bundle worth $50 today.,medium,Suspicious Message
Immediate action required: your Apple account will be closed in 2 hours.,high,Suspicious Message
